district_id,district,region,ecological_zone,spatial_unit,incidence,parasitemia,itn_coverage,water_access,sanitation,u5mr,mort_rate,pop_density,high_burden,bv_lisa_quadrant,gi_z_score,gi_classification,xgb_risk_score,xgb_risk_tier,data_source_incidence,data_source_parasitemia,data_source_itn,data_source_wash,data_source_u5mr,analysis_year,version,latitude,longitude
1,ADENTA MUNICIPAL,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),70.4,9.269349096108662,59.1817289209696,98.15428323709185,76.50580934220622,51.888475938402216,16.865902698317477,309.87797253329654,0,2,-2.867536654695214,Coldspot 99%,0.0007333333333333334,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.7042433,-0.1690967
2,LEDZOKUKU MUNICIPAL,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),59.9,13.456036440131843,48.862483461659124,88.28874365841375,78.19892971595712,27.12497080786262,7.032708761108334,127.02572110324019,0,2,-3.074407896100583,Coldspot 99%,0.0,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.6050983,-0.114493361214251
3,CHEREPONI,NORTHERN EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),246.5,56.78727045387467,21.051662787458234,56.07265735600214,51.19949048008002,130.56261161502792,49.753754678234564,4.2915020096390535,1,0,2.948649226757437,Hotspot 99%,0.7275328970952655,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.1792653999999,0.207987165887793
4,WA EAST,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),258.7,63.80462146727514,15.621552377384408,55.62721694650445,28.316494781644234,139.61693155605906,47.12310404305771,674.2415905780647,1,4,3.158122622142747,Hotspot 99%,0.6282287337399446,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.06069,-2.50192
5,WA MUNICIPAL,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),274.6,57.4648652922368,27.563629642642773,46.01892820013581,30.70075778593313,114.09701613628387,44.36782597382654,196.06719211403848,1,4,3.3649938635481162,Hotspot 99.9%,0.6866565778982469,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.0623261,-2.5054273
6,SABOBA,NORTHERN,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),304.9,60.97583552214848,29.7737460532365,57.44363500209827,25.684804000322956,136.6238292922,50.96045233481991,333.0236606580628,1,4,3.817211051633707,Hotspot 99.9%,0.6551967946891472,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),9.70870525,0.196098328672698
7,JIRAPA,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),285.3,49.2152986276013,30.3188234210093,54.06412151879213,27.34790975569328,159.81082107386263,51.85041231215603,270.06872818382334,1,4,3.53413387224433,Hotspot 99.9%,0.7769578898708257,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.5366328,-2.7008646
8,GUSHEGU,NORTHERN,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),262.3,60.90718181772708,30.360998691614554,63.87426332324573,35.21361157268466,139.4742988743245,46.52126827321871,79.91492111811726,0,4,3.2815390680485566,Hotspot 99%,0.3276342388080492,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),9.9185016,-0.2164706
9,SISSALA WEST,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),299.4,69.84249681938128,23.76462593085678,62.08322511407712,33.79576265027984,144.47296198516867,49.45877662548235,495.49080240700687,1,4,3.734127992416996,Hotspot 99.9%,0.5910920889885795,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.7467085,-2.29346951572635
10,NANUMBA NORTH,NORTHERN,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),284.0,71.06160806769103,8.399499165593975,60.50634028427255,37.62032062093639,128.99746186539605,51.45215724764129,-29.632721190725913,1,4,3.4289325041981145,Hotspot 99.9%,0.528206027748879,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),8.92200959999999,-0.138644700894755
